"","NOC","Medal","Year","Sport","Event","City"
"1","DEN","Gold",1900,"Tug-Of-War","Tug-Of-War Men's Tug-Of-War","Paris"
"2","FIN","Bronze",1920,"Swimming","Swimming Men's 200 metres Breaststroke","Antwerpen"
"3","FIN","Bronze",1920,"Swimming","Swimming Men's 400 metres Breaststroke","Antwerpen"
"4","FIN","Bronze",1948,"Gymnastics","Gymnastics Men's Individual All-Around","London"
"5","FIN","Gold",1948,"Gymnastics","Gymnastics Men's Team All-Around","London"
"6","FIN","Gold",1948,"Gymnastics","Gymnastics Men's Horse Vault","London"
"7","FIN","Gold",1948,"Gymnastics","Gymnastics Men's Pommelled Horse","London"
"8","FIN","Bronze",1952,"Gymnastics","Gymnastics Men's Team All-Around","Helsinki"
"9","NOR","Gold",2008,"Handball","Handball Women's Handball","Beijing"
"10","NOR","Silver",1920,"Gymnastics","Gymnastics Men's Team All-Around, Free System","Antwerpen"
"11","NED","Bronze",1988,"Hockey","Hockey Women's Hockey","Seoul"
"12","NED","Silver",1996,"Rowing","Rowing Men's Lightweight Double Sculls","Atlanta"
"13","NOR","Bronze",1996,"Football","Football Women's Football","Atlanta"
"14","NOR","Gold",1912,"Sailing","Sailing Mixed 8 metres","Stockholm"
"15","FRA","Gold",1956,"Cycling","Cycling Men's Road Race, Team","Melbourne"
"16","ITA","Bronze",2016,"Rowing","Rowing Men's Coxless Pairs","Rio de Janeiro"
"17","ESP","Bronze",2008,"Fencing","Fencing Men's epee, Individual","Beijing"
"18","AZE","Bronze",2016,"Taekwondo","Taekwondo Women's Flyweight","Rio de Janeiro"
"19","RUS","Silver",2008,"Athletics","Athletics Women's Javelin Throw","Beijing"
"20","BLR","Gold",2008,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Beijing"
"21","FRA","Gold",2008,"Handball","Handball Men's Handball","Beijing"
"22","FRA","Gold",2012,"Handball","Handball Men's Handball","London"
"23","FRA","Silver",2016,"Handball","Handball Men's Handball","Rio de Janeiro"
"24","CMR","Gold",2000,"Football","Football Men's Football","Sydney"
"25","ESP","Gold",1996,"Water Polo","Water Polo Men's Water Polo","Atlanta"
"26","USA","Silver",2004,"Wrestling","Wrestling Men's Featherweight, Freestyle","Athina"
"27","ESP","Gold",1980,"Sailing","Sailing Mixed Two Person Heavyweight Dinghy","Moskva"
"28","ESP","Bronze",1984,"Athletics","Athletics Men's 1,500 metres","Los Angeles"
"29","RUS","Silver",2004,"Cycling","Cycling Women's Sprint","Athina"
"30","HUN","Silver",1992,"Fencing","Fencing Men's Sabre, Team","Barcelona"
"31","HUN","Bronze",1936,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Berlin"
"32","ITA","Bronze",1936,"Modern Pentathlon","Modern Pentathlon Men's Individual","Berlin"
"33","ITA","Gold",1988,"Rowing","Rowing Men's Quadruple Sculls","Seoul"
"34","ITA","Gold",1996,"Rowing","Rowing Men's Double Sculls","Atlanta"
"35","ITA","Gold",2000,"Rowing","Rowing Men's Quadruple Sculls","Sydney"
"36","ITA","Gold",1984,"Rowing","Rowing Men's Coxed Pairs","Los Angeles"
"37","ITA","Gold",1988,"Rowing","Rowing Men's Coxed Pairs","Seoul"
"38","ITA","Silver",1992,"Rowing","Rowing Men's Coxed Pairs","Barcelona"
"39","GRE","Bronze",1906,"Football","Football Men's Football","Athina"
"40","AUS","Bronze",2008,"Hockey","Hockey Men's Hockey","Beijing"
"41","USA","Gold",1900,"Golf","Golf Women's Individual","Paris"
"42","USA","Silver",2008,"Softball","Softball Women's Softball","Beijing"
"43","USA","Silver",2004,"Taekwondo","Taekwondo Women's Featherweight","Athina"
"44","IRI","Bronze",2016,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Rio de Janeiro"
"45","CAN","Bronze",1984,"Swimming","Swimming Women's 4 x 100 metres Medley Relay","Los Angeles"
"46","PAK","Gold",1960,"Hockey","Hockey Men's Hockey","Roma"
"47","PAK","Silver",1964,"Hockey","Hockey Men's Hockey","Tokyo"
"48","URS","Gold",1972,"Wrestling","Wrestling Men's Featherweight, Freestyle","Munich"
"49","UZB","Gold",2000,"Boxing","Boxing Men's Light-Welterweight","Sydney"
"50","AZE","Silver",1996,"Wrestling","Wrestling Men's Flyweight, Freestyle","Atlanta"
"51","AZE","Gold",2000,"Wrestling","Wrestling Men's Bantamweight, Freestyle","Sydney"
"52","USA","Gold",2000,"Basketball","Basketball Men's Basketball","Sydney"
"53","TJK","Silver",2008,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Beijing"
"54","EUN","Gold",1992,"Athletics","Athletics Men's Hammer Throw","Barcelona"
"55","ETH","Bronze",1992,"Athletics","Athletics Men's 10,000 metres","Barcelona"
"56","SUI","Silver",1924,"Football","Football Men's Football","Paris"
"57","GDR","Silver",1972,"Gymnastics","Gymnastics Women's Team All-Around","Munich"
"58","CAN","Bronze",2012,"Diving","Diving Women's Synchronized Springboard","London"
"59","NOR","Silver",1920,"Sailing","Sailing Mixed 7 metres","Antwerpen"
"60","ESP","Gold",1992,"Football","Football Men's Football","Barcelona"
"61","USA","Gold",1900,"Rowing","Rowing Men's Coxed Eights","Paris"
"62","USA","Gold",1904,"Rowing","Rowing Men's Coxed Eights","St. Louis"
"63","ETH","Gold",2000,"Athletics","Athletics Men's Marathon","Sydney"
"64","SWE","Bronze",1912,"Athletics","Athletics Men's Long Jump","Stockholm"
"65","SWE","Silver",1912,"Athletics","Athletics Men's Triple Jump","Stockholm"
"66","USA","Gold",2000,"Baseball","Baseball Men's Baseball","Sydney"
"67","RSA","Bronze",1956,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Melbourne"
"68","TUR","Silver",2008,"Athletics","Athletics Women's 5,000 metres","Beijing"
"69","BUL","Gold",1980,"Wrestling","Wrestling Men's Middleweight, Freestyle","Moskva"
"70","USA","Gold",1932,"Athletics","Athletics Men's 4 x 400 metres Relay","Los Angeles"
"71","RUS","Bronze",2012,"Gymnastics","Gymnastics Men's Floor Exercise","London"
"72","RUS","Silver",2012,"Gymnastics","Gymnastics Men's Horse Vault","London"
"73","RUS","Silver",2016,"Gymnastics","Gymnastics Men's Team All-Around","Rio de Janeiro"
"74","RUS","Silver",2016,"Gymnastics","Gymnastics Men's Horse Vault","Rio de Janeiro"
"75","RUS","Bronze",2016,"Gymnastics","Gymnastics Men's Rings","Rio de Janeiro"
"76","URS","Silver",1972,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Munich"
"77","URS","Bronze",1972,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Munich"
"78","AUS","Bronze",2016,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Rio de Janeiro"
"79","EGY","Silver",2012,"Fencing","Fencing Men's Foil, Individual","London"
"80","HUN","Bronze",1988,"Canoeing","Canoeing Men's Kayak Doubles, 500 metres","Seoul"
"81","HUN","Gold",1988,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Seoul"
"82","HUN","Silver",1992,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Barcelona"
"83","GBR","Bronze",1980,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","Moskva"
"84","SWE","Silver",2004,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Athina"
